voterId,politicianId
1,17
2,3
3,7
4,20
5,11
6,12
7,13
8,7
9,1
10,2
11,3
12,4
13,5
14,6
15,7
16,8
17,9
18,10
19,11
20,12
21,7
22,13
23,19
24,18
25,16
26,16
27,7
28,10
29,9
30,1
31,2
32,3
33,7
34,5
35,10
36,7
37,7
38,7
39,2
40,4
41,20
42,7
43,7
44,7
45,4
46,2
47,11
48,13
49,6
50,5
51,15
52,19
53,20
54,4
55,7
56,4
57,6
58,7
59,8
60,12
61,7
62,11
63,7
64,5
65,11
66,13
67,14
68,7
69,7
70,2
71,7
72,9
73,7
74,5
75,7
76,17
77,18
78,17
79,7
80,5
81,4
82,7
83,3
84,4
85,6
86,14
87,12
88,12
89,12
90,7
91,1
92,1
93,4
94,2
95,6
96,7
97,9
98,10
99,10
100,10
101,12
102,7
103,4
104,6
105,7
106,7
107,8
108,8
109,7
110,6
111,5
112,7
113,7
114,7
115,7
116,7
117,7
118,7
119,7
120,7
121,4
122,6
123,7
124,7
125,7
126,7
127,7
128,3
129,19
130,12
131,12
132,5
133,9
134,10
135,10
136,14
137,13
138,13
139,11
140,6
141,5
142,7
143,5
144,7
145,6
146,7
147,7
148,7
149,7
150,7
1,4
18,3
20,9
44,10
44,8
56,11
56,5
56,3
101,7
101,14
143,17
35,13
28,12
